package,version,PII,file_sys_access,file_process_creation,network_access,Cryptographic_functionality,data_encoding,dynamic_code_generation,package_installation,label
cors-2.8.5,2.8.5,0,0,1,1,0,1,0,0,malicious
cors.js,2.8.5,0,0,1,1,0,1,0,0,malicious
cute-free-tiktok-fans-and-likes-booster-2022,1.0.0,0,0,0,0,0,0,0,0,malicious
cute-free-tiktok-followers-and-likes-booster-2022,1.0.0,0,0,0,0,0,0,0,0,malicious
cyb-core,9.9.9,0,1,1,0,0,1,0,0,malicious
debug-common,1.1.1,0,1,1,0,0,1,0,0,malicious
eslint-config-opentable-es5,1.1.1,0,1,1,0,0,1,0,0,malicious
eslint-plugin-automation-custom,19.0.0,0,1,1,0,0,1,0,0,malicious
evil-npm-packagee,1.0.3,0,0,0,0,0,0,0,0,malicious
get-free-cash-app-money,1.0.0,0,0,0,0,0,0,0,0,malicious
gramin-chat1,1.0.0,0,0,0,0,0,0,0,0,malicious
islands-specific,137.0.0,0,0,1,0,0,1,0,0,malicious
likeappa,1.0.3,0,0,0,0,0,0,0,0,malicious
likesec,1.0.3,0,0,0,0,0,0,0,0,malicious
likesecapp,1.0.2,0,0,0,0,0,0,0,0,malicious
market-apps-list,0.0.0,0,1,1,0,0,1,0,0,malicious
mihail6labm0603,1.0.0,0,0,0,1,0,0,0,0,malicious
niodependencytest,1.0.2,0,0,0,0,0,0,0,0,malicious
node-monero-miner,0.2.4,0,0,1,1,0,1,0,0,malicious
packyourbag,9.9.9,0,1,1,0,0,1,0,0,malicious
peter-parker-spider-man-no-way-home-2021-online,2.0.0,0,0,0,0,0,0,0,0,malicious
pia6-4,1.1.1,0,0,0,1,0,0,0,0,malicious
real-free-tiktok-fans-likes-and-followers-2022,1.0.0,0,0,0,0,0,0,0,0,malicious
redeem-free-cash-app-money,1.0.0,0,0,0,0,0,0,0,0,malicious
redzone,3.0.0,0,1,1,0,0,1,0,0,malicious
sdk-api,2.0.0,0,1,1,0,0,1,0,0,malicious
sdk-coin-bch,2.0.0,0,1,1,0,0,1,0,0,malicious
securityrele,0.0.8,0,0,0,0,0,0,0,0,malicious
sock-2,1.0.2,0,0,0,0,0,0,0,0,malicious
socket-first-level-dep-1,1.0.0,0,0,1,0,0,0,0,0,malicious
sofa1-shop,9.9.9,0,1,1,0,0,1,0,0,malicious
sportlifejs,1.1.2,0,0,0,1,0,0,0,0,malicious
stale-props,0.0.2,0,1,1,0,0,1,0,0,malicious
t0604nodule,1.0.1,0,0,0,0,0,0,0,0,malicious
t3dcar,1.1.0,0,0,0,0,0,0,0,0,malicious
test-package-dependencyconfusion,1.0.4,0,1,1,0,0,1,0,0,malicious
test1221-npm,1.0.0,0,0,0,0,0,0,0,0,malicious
testername,1.4.11,0,0,0,0,0,0,0,0,malicious
testherejson,1.0.11,0,0,0,0,0,0,0,0,malicious
touching-fish,0.0.1,0,0,1,1,0,0,0,0,malicious
vanshpkg,2.0.0,0,1,1,0,0,1,0,0,malicious
vanshpkgg,2.0.0,0,1,1,0,0,1,0,0,malicious
who_ask,9.9.9,0,1,1,0,0,1,0,0,malicious
ws-ui-tool,19.0.0,0,0,0,0,0,0,0,0,malicious
yf_hello_world,1.0.4,0,0,0,0,0,0,0,0,malicious
ysfoxx,1.999.99,0,0,1,0,0,0,0,0,malicious
ysofx,1.999.99,0,0,1,0,0,0,0,0,malicious
